Iteration,Elapsed,Running,Creating,Total Active Memory,Total Free Memory, Active,0,1,2,3,4,5,Free,0,1,2,3,4,5
172,79,0,0,111066604,165072304,,17271728,18353312,18028816,18840404,18040968,20531376,,28010312,28046628,28428588,26905880,28561216,25119680
173,165,0,0,111087840,164994968,,17212468,18349680,18022808,18852804,18038200,20611880,,28037812,28049660,28440288,26911196,28525284,25030728
174,244,0,0,111131596,164915624,,17300944,18352044,18034620,18839284,18042128,20562576,,27952824,28043948,28424224,26920024,28530860,25043744
175,4,0,0,111192224,164838264,,17304520,18352960,18030432,18838936,18053060,20612316,,27937128,28043996,28422732,26907052,28520740,25006616
176,4,0,0,111242376,164822752,,17365756,18374540,18034208,18835272,18038032,20594568,,27886308,28036576,28431924,26922272,28538736,25006936
177,104,0,0,111113132,164931308,,17261408,18362336,18032028,18838804,18045424,20573132,,27999520,28032912,28423604,26921588,28530052,25023632
178,224,0,0,111094784,164809768,,17257048,18364560,18036812,18855084,18050004,20531276,,27904904,28033352,28416664,26897528,28516356,25040964
179,205,0,0,111076844,164842632,,17247384,18371788,18041428,18837468,18056012,20522764,,27956756,28018408,28396768,26910584,28515992,25044124
180,243,0,0,111138628,164802752,,17279476,18365736,18041320,18853712,18046640,20551744,,27954756,28022560,28404920,26907028,28518004,24995484
181,3,0,0,111371564,164560032,,17462616,18374464,18047688,18853544,18046416,20586836,,27749160,27998004,28409920,26886376,28521992,24994580
182,4,0,0,111281660,164656728,,17393296,18365600,18040820,18852616,18050616,20578712,,27802912,28031724,28417072,26898000,28518260,24988760
183,225,0,0,111179176,164886116,,17233324,18373844,18041348,18857412,18056768,20616480,,27954604,28015920,28415348,26885296,28517200,25097748
184,4,0,0,111301268,164928768,,17275772,18395384,18043192,18868520,18060736,20657664,,28061592,28001340,28405400,26885728,28519744,25054964
185,5,0,0,111292176,164980460,,17325844,18373992,18047084,18896048,18060924,20588284,,28054968,28035208,28396192,26890384,28500228,25103480
186,229,0,0,111160456,165079152,,17236184,18376944,18044236,18881808,18068356,20552928,,28096312,28026232,28419156,26888640,28506624,25142188
187,245,0,0,111136644,165059720,,17239220,18382132,18050368,18875556,18064720,20524648,,28091792,28005440,28405272,26882616,28513328,25161272
188,164,0,0,111116076,164957348,,17205428,18379896,18056304,18872628,18067912,20533908,,28021592,28005272,28409128,26874108,28497648,25149600
189,224,0,0,111208888,164922492,,17291828,18378560,18054404,18875804,18065588,20542704,,28003780,28018596,28425616,26843324,28509444,25121732
190,145,0,0,111249512,164913472,,17343372,18389092,18053712,18883960,18070564,20508812,,27950412,27982472,28399808,26865832,28510376,25204572
191,3,0,0,111350368,164823676,,17429920,18389048,18056300,18891440,18081540,20502120,,27869540,28013828,28390388,26857824,28521200,25170896
192,124,0,0,111180576,164811240,,17272364,18384428,18059580,18883396,18069184,20511624,,27965544,27995076,28359900,26857288,28504228,25129204
193,244,0,0,111281012,164804860,,17314620,18389128,18050844,18889408,18069572,20567440,,27969704,27980376,28392252,26840612,28506916,25115000
194,19,0,0,111313724,164760776,,17357072,18386492,18065252,18895672,18072416,20536820,,27895644,28012076,28400524,26840452,28520560,25091520
195,224,0,0,111310032,164714572,,17352072,18390568,18049736,18901564,18058760,20557332,,27882960,27998648,28397776,26831436,28518824,25084928
196,5,0,0,111479224,164575724,,17470384,18387348,18064936,18896048,18062588,20597920,,27799092,27979872,28410144,26826940,28512700,25046976
197,4,0,0,111261260,164785112,,17327608,18384900,18053264,18899412,18066208,20529868,,27919964,27996408,28396276,26813844,28504380,25154240
198,145,0,0,111277212,164726664,,17253140,18394812,18053548,18899696,18067804,20608212,,27974184,28005624,28389848,26848572,28488964,25019472
199,4,0,0,111496252,164456880,,17422944,18386712,18065452,18893672,18077984,20649488,,27800168,27971388,28393116,26837596,28487680,24966932
200,244,0,0,111334992,164619696,,17320592,18384032,18066080,18900380,18077672,20586236,,27905656,27999172,28390624,26819356,28489384,25015504
201,205,0,0,111230576,164669784,,17285924,18389688,18062552,18910420,18077280,20504712,,27911780,27993464,28374476,26808560,28498252,25083252
202,184,0,0,111335228,164563564,,17334968,18383104,18061068,18909588,18079164,20567336,,27871312,27974604,28373528,26826468,28487212,25030440
